grant_level,grantee,privilege_type,column_name
column,authenticated,INSERT,avatar_url
column,authenticated,INSERT,created_at
column,authenticated,INSERT,email
column,authenticated,INSERT,full_name
column,authenticated,INSERT,id
column,authenticated,INSERT,is_platform_admin
column,authenticated,INSERT,updated_at
column,authenticated,REFERENCES,avatar_url
column,authenticated,REFERENCES,created_at
column,authenticated,REFERENCES,email
column,authenticated,REFERENCES,full_name
column,authenticated,REFERENCES,id
column,authenticated,REFERENCES,is_platform_admin
column,authenticated,REFERENCES,updated_at
column,authenticated,SELECT,avatar_url
column,authenticated,SELECT,created_at
column,authenticated,SELECT,email
column,authenticated,SELECT,full_name
column,authenticated,SELECT,id
column,authenticated,SELECT,is_platform_admin
column,authenticated,SELECT,updated_at
column,authenticated,UPDATE,avatar_url
column,authenticated,UPDATE,full_name
table,authenticated,DELETE,null
table,authenticated,INSERT,null
table,authenticated,REFERENCES,null
table,authenticated,SELECT,null
table,authenticated,TRIGGER,null
table,authenticated,TRUNCATE,null
