schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,contacts,contacts_delete,PERMISSIVE,{authenticated},DELETE,"private.has_permission(organization_id, 'leads.delete'::text)",null
public,contacts,contacts_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.is_organization_member(organization_id) AND private.has_permission(organization_id, 'leads.create'::text) AND (created_by = ( SELECT auth.uid() AS uid)))"
public,contacts,contacts_select,PERMISSIVE,{authenticated},SELECT,"(private.has_permission(organization_id, 'leads.read_all'::text) OR (created_by = ( SELECT auth.uid() AS uid)) OR (EXISTS ( SELECT 1
   FROM leads lead
  WHERE ((lead.contact_id = contacts.id) AND (lead.organization_id = contacts.organization_id) AND private.can_view_lead(lead.id)))) OR (EXISTS ( SELECT 1
   FROM conversations conversation
  WHERE ((conversation.contact_id = contacts.id) AND (conversation.organization_id = contacts.organization_id) AND private.can_view_conversation(conversation.id)))))",null
public,contacts,contacts_update,PERMISSIVE,{authenticated},UPDATE,"(private.has_permission(organization_id, 'leads.update_all'::text) OR (private.has_permission(organization_id, 'leads.update_assigned'::text) AND ((created_by = ( SELECT auth.uid() AS uid)) OR (EXISTS ( SELECT 1
   FROM leads lead
  WHERE ((lead.contact_id = contacts.id) AND (lead.organization_id = contacts.organization_id) AND private.can_edit_lead(lead.id)))))))",private.is_organization_member(organization_id)
public,conversation_assignment_history,conversation_assignment_history_select,PERMISSIVE,{authenticated},SELECT,private.can_view_conversation(conversation_id),null
public,conversation_user_state,conversation_user_state_insert,PERMISSIVE,{authenticated},INSERT,null,((user_id = ( SELECT auth.uid() AS uid)) AND private.can_view_conversation(conversation_id))
public,conversation_user_state,conversation_user_state_select,PERMISSIVE,{authenticated},SELECT,((user_id = ( SELECT auth.uid() AS uid)) AND private.can_view_conversation(conversation_id)),null
public,conversation_user_state,conversation_user_state_update,PERMISSIVE,{authenticated},UPDATE,((user_id = ( SELECT auth.uid() AS uid)) AND private.can_view_conversation(conversation_id)),((user_id = ( SELECT auth.uid() AS uid)) AND private.can_view_conversation(conversation_id))
public,conversations,conversations_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.has_permission(organization_id, 'conversations.create'::text) AND (assigned_to = ( SELECT auth.uid() AS uid)) AND ((lead_id IS NULL) OR private.can_view_lead(lead_id)))"
public,conversations,conversations_select,PERMISSIVE,{authenticated},SELECT,private.can_view_conversation(id),null
public,conversations,conversations_update,PERMISSIVE,{authenticated},UPDATE,(private.can_reply_conversation(id) OR private.can_assign_conversation(id)),private.is_organization_member(organization_id)
public,custom_field_options,custom_field_options_delete,PERMISSIVE,{authenticated},DELETE,private.can_manage_custom_field(field_id),null
public,custom_field_options,custom_field_options_insert,PERMISSIVE,{authenticated},INSERT,null,private.can_manage_custom_field(field_id)
public,custom_field_options,custom_field_options_select,PERMISSIVE,{authenticated},SELECT,private.can_view_custom_field(field_id),null
public,custom_field_options,custom_field_options_update,PERMISSIVE,{authenticated},UPDATE,private.can_manage_custom_field(field_id),private.can_manage_custom_field(field_id)
public,custom_fields,custom_fields_delete,PERMISSIVE,{authenticated},DELETE,"private.has_permission(organization_id, 'custom_fields.manage'::text)",null
public,custom_fields,custom_fields_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.is_organization_member(organization_id) AND private.has_permission(organization_id, 'custom_fields.manage'::text) AND ((pipeline_id IS NULL) OR private.can_manage_pipeline(pipeline_id)))"
public,custom_fields,custom_fields_select,PERMISSIVE,{authenticated},SELECT,private.can_view_custom_field(id),null
public,custom_fields,custom_fields_update,PERMISSIVE,{authenticated},UPDATE,"private.has_permission(organization_id, 'custom_fields.manage'::text)","(private.has_permission(organization_id, 'custom_fields.manage'::text) AND ((pipeline_id IS NULL) OR private.can_manage_pipeline(pipeline_id)))"
public,lead_assignment_history,lead_assignment_history_select,PERMISSIVE,{authenticated},SELECT,private.can_view_lead(lead_id),null
public,lead_custom_values,lead_custom_values_delete,PERMISSIVE,{authenticated},DELETE,private.can_edit_lead(lead_id),null
public,lead_custom_values,lead_custom_values_insert,PERMISSIVE,{authenticated},INSERT,null,(private.can_edit_lead(lead_id) AND private.can_view_custom_field(field_id))
public,lead_custom_values,lead_custom_values_select,PERMISSIVE,{authenticated},SELECT,(private.can_view_lead(lead_id) AND private.can_view_custom_field(field_id)),null
public,lead_custom_values,lead_custom_values_update,PERMISSIVE,{authenticated},UPDATE,(private.can_edit_lead(lead_id) AND private.can_view_custom_field(field_id)),(private.can_edit_lead(lead_id) AND private.can_view_custom_field(field_id))
public,lead_notes,lead_notes_select_visible,PERMISSIVE,{authenticated},SELECT,"(private.is_organization_member(organization_id) AND (EXISTS ( SELECT 1
   FROM leads lead
  WHERE ((lead.id = lead_notes.lead_id) AND (lead.organization_id = lead_notes.organization_id) AND private.user_can_access_pipeline(auth.uid(), lead.pipeline_id) AND (private.is_organization_admin(lead_notes.organization_id) OR private.has_permission(lead_notes.organization_id, 'leads.read_all'::text) OR (lead.assigned_to = auth.uid()) OR ((lead.assigned_to IS NULL) AND private.has_permission(lead_notes.organization_id, 'leads.read_unassigned'::text)))))))",null
public,lead_shares,lead_shares_delete,PERMISSIVE,{authenticated},DELETE,"(private.has_permission(organization_id, 'leads.assign'::text) AND private.can_edit_lead(lead_id))",null
public,lead_shares,lead_shares_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.has_permission(organization_id, 'leads.assign'::text) AND private.can_edit_lead(lead_id) AND (EXISTS ( SELECT 1
   FROM leads lead
  WHERE ((lead.id = lead_shares.lead_id) AND (lead.organization_id = lead_shares.organization_id) AND private.user_can_access_pipeline(lead_shares.user_id, lead.pipeline_id)))))"
public,lead_shares,lead_shares_select,PERMISSIVE,{authenticated},SELECT,((user_id = ( SELECT auth.uid() AS uid)) OR private.can_view_lead(lead_id)),null
public,lead_shares,lead_shares_update,PERMISSIVE,{authenticated},UPDATE,"(private.has_permission(organization_id, 'leads.assign'::text) AND private.can_edit_lead(lead_id))","(private.has_permission(organization_id, 'leads.assign'::text) AND private.can_edit_lead(lead_id))"
public,lead_sources,lead_sources_delete,PERMISSIVE,{authenticated},DELETE,"private.has_permission(organization_id, 'integrations.manage'::text)",null
public,lead_sources,lead_sources_insert,PERMISSIVE,{authenticated},INSERT,null,"private.has_permission(organization_id, 'integrations.manage'::text)"
public,lead_sources,lead_sources_select,PERMISSIVE,{authenticated},SELECT,private.is_organization_member(organization_id),null
public,lead_sources,lead_sources_update,PERMISSIVE,{authenticated},UPDATE,"private.has_permission(organization_id, 'integrations.manage'::text)","private.has_permission(organization_id, 'integrations.manage'::text)"
public,lead_stage_history,lead_stage_history_select,PERMISSIVE,{authenticated},SELECT,private.can_view_lead(lead_id),null
public,lead_tags,lead_tags_delete,PERMISSIVE,{authenticated},DELETE,"(private.has_permission(organization_id, 'tags.assign'::text) AND private.can_edit_lead(lead_id))",null
public,lead_tags,lead_tags_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.has_permission(organization_id, 'tags.assign'::text) AND private.can_edit_lead(lead_id) AND (EXISTS ( SELECT 1
   FROM tags tag
  WHERE ((tag.id = lead_tags.tag_id) AND (tag.organization_id = lead_tags.organization_id) AND (tag.is_active = true)))))"
public,lead_tags,lead_tags_select,PERMISSIVE,{authenticated},SELECT,"(private.has_permission(organization_id, 'tags.read'::text) AND private.can_view_lead(lead_id))",null
public,leads,leads_delete,PERMISSIVE,{authenticated},DELETE,"(private.has_permission(organization_id, 'leads.delete'::text) AND private.can_view_lead(id))",null
public,leads,leads_insert,PERMISSIVE,{authenticated},INSERT,null,"(private.has_permission(organization_id, 'leads.create'::text) AND private.can_operate_pipeline_stage(stage_id))"
public,leads,leads_select,PERMISSIVE,{authenticated},SELECT,private.can_view_lead(id),null
public,leads,leads_update,PERMISSIVE,{authenticated},UPDATE,private.can_edit_lead(id),(private.is_organization_member(organization_id) AND private.can_operate_pipeline_stage(stage_id))
public,messages,messages_insert,PERMISSIVE,{authenticated},INSERT,null,"((direction = ANY (ARRAY['outbound'::text, 'internal'::text])) AND (sender_user_id = ( SELECT auth.uid() AS uid)) AND private.can_reply_conversation(conversation_id))"
public,messages,messages_select,PERMISSIVE,{authenticated},SELECT,private.can_view_conversation(conversation_id),null
public,notifications,notifications_select,PERMISSIVE,{authenticated},SELECT,"((user_id = ( SELECT auth.uid() AS uid)) AND private.has_permission(organization_id, 'notifications.read'::text))",null
public,notifications,notifications_update,PERMISSIVE,{authenticated},UPDATE,"((user_id = ( SELECT auth.uid() AS uid)) AND private.has_permission(organization_id, 'notifications.update'::text))","((user_id = ( SELECT auth.uid() AS uid)) AND private.has_permission(organization_id, 'notifications.update'::text))"
public,organization_branding,branding_delete,PERMISSIVE,{authenticated},DELETE,private.is_platform_admin(),null
public,organization_branding,branding_insert,PERMISSIVE,{authenticated},INSERT,null,private.is_organization_admin(organization_id)
public,organization_branding,branding_select,PERMISSIVE,{authenticated},SELECT,private.is_organization_member(organization_id),null
public,organization_branding,branding_update,PERMISSIVE,{authenticated},UPDATE,private.is_organization_admin(organization_id),private.is_organization_admin(organization_id)
public,organization_members,organization_members_delete,PERMISSIVE,{authenticated},DELETE,private.is_organization_admin(organization_id),null
public,organization_members,organization_members_insert,PERMISSIVE,{authenticated},INSERT,null,private.is_organization_admin(organization_id)
